team,season,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Boston Celtics,2014-15 ,2.09054325955734,0.803068410462777,1.81363179074447,0.165995975855131,0.508299798792757,0.31841046277666,0.422032193158954,0.22887323943662,0.675301810865191,0.904175050301811,0.505281690140845,0.284959758551308,0.169517102615694,0.073943661971831,0.437122736418511,0.00326961770623742
Brooklyn Nets,2014-15 ,2.01655795283492,0.769944806823884,1.70697441043653,0.135725037631711,0.409683893627697,0.340943301555444,0.455845459106874,0.212242849974912,0.659056698444556,0.871299548419468,0.430506773707978,0.284244856999498,0.144505770195685,0.0852985449071751,0.396136477671852,-0.0592072252885098
New York Knicks,2014-15 ,1.89750692520776,0.725761772853186,1.69377990430622,0.141022412490557,0.406446738856711,0.304960967010829,0.39662553512969,0.218332913623772,0.615210274490053,0.833543188113825,0.439687736086628,0.303701838327877,0.144799798539411,0.0961974313774868,0.445227902291614,-0.192394862754974
Philadelphia 76ers,2014-15 ,1.9040646301439,0.698056046452916,1.7109315829336,0.174703357737945,0.545316839182025,0.333249179500126,0.493057308760414,0.246907346629639,0.640242363039636,0.887149709669275,0.424892703862661,0.36682655894976,0.199192123201212,0.122948750315577,0.448876546326685,-0.185811663721283
Toronto Raptors,2014-15 ,2.14731805590531,0.782674389322589,1.71971795517502,0.182825484764543,0.518761017375976,0.399143792495593,0.507177033492823,0.221858473936036,0.636111810627046,0.857970284563082,0.428355577940065,0.266179803575925,0.154872828003022,0.0899017879627298,0.431125661042559,0.0634600856207504
Chicago Bulls,2014-15 ,2.07872233400402,0.754778672032193,1.70950704225352,0.162223340040241,0.459004024144869,0.406941649899396,0.519869215291751,0.241197183098592,0.702213279678069,0.94341046277666,0.447937625754527,0.287977867203219,0.129275653923541,0.119718309859155,0.376006036217304,0.0618712273641851
Cleveland Cavaliers,2014-15 ,2.13776541961577,0.780839231547017,1.70348837209302,0.208796764408493,0.569514661274014,0.367290192113246,0.488877654196158,0.230283114256825,0.660262891809909,0.890546006066734,0.458543983822043,0.296006066734075,0.152426693629929,0.0859453993933266,0.38169868554095,0.0927704752275025
Detroit Pistons,2014-15 ,2.03656076651538,0.766767523953606,1.77458396369138,0.17725668179526,0.515128593040847,0.32576903681291,0.463439233484619,0.265002521432173,0.663136661623802,0.928139183055976,0.44654563792234,0.277105395864851,0.157085224407463,0.0965708522440746,0.39309127584468,-0.0206757438224912
Indiana Pacers,2014-15 ,2.00982120372702,0.754973558297658,1.71845882649207,0.154117350793251,0.438176781667086,0.345756736338454,0.457567363384538,0.215562830521279,0.710652228657769,0.926215059179048,0.442457819189121,0.288844119869051,0.127171996978091,0.0944346512213548,0.438680433140267,0.00579199194157643
Milwaukee Bucks,2014-15 ,2.01279478173608,0.773457099849473,1.6864024084295,0.136728549924737,0.376317109884596,0.329152032112393,0.435022579026593,0.219769192172604,0.645760160561967,0.865529352734571,0.48469643753136,0.344455594581034,0.197942799799298,0.101103863522328,0.455092824887105,0.00878073256397391
Atlanta Hawks,2014-15 ,2.13101875316776,0.790927521540801,1.6976685250887,0.207298530157121,0.545362392295996,0.341865179929042,0.439685757729346,0.181196147997973,0.661682716675114,0.842878864673087,0.534972123669539,0.295742524075013,0.188545362392296,0.0963000506842372,0.369234668018246,0.112772427774962
Charlotte Hornets,2014-15 ,1.93946244662145,0.73172569706104,1.74127103742778,0.12509419743783,0.39336850037679,0.350916855061542,0.468977643808088,0.205978397387591,0.701582516955539,0.90756091434313,0.415473499120824,0.245164531524743,0.125345390605376,0.112534539060538,0.375282592313489,-0.0653102235619191
Miami Heat,2014-15 ,1.96756208819057,0.731120121642169,1.60415610745058,0.1409021794222,0.420425747592499,0.364419665484035,0.491637100861632,0.189305625950329,0.623669538773441,0.812975164723771,0.412062848454131,0.307653319817537,0.162696401419159,0.094272681196148,0.414597060314242,-0.0539787126203751
Orlando Magic,2014-15 ,1.986079473551,0.778537079220451,1.71905846621109,0.140217666413566,0.40445456846368,0.288787648696533,0.39610225259428,0.208048595292331,0.659832953682612,0.867881548974943,0.428246013667426,0.309035687167806,0.163756011136421,0.0794735509997469,0.433814224247026,-0.118704125537839
Washington Wizards,2014-15 ,2.02455524931095,0.786519669255826,1.70132798797294,0.124530192934102,0.346028564269607,0.326985717865197,0.440491104986219,0.215985968428965,0.701829115509897,0.917815083938863,0.493360060135304,0.308945126534703,0.150588824855926,0.0947131044850915,0.427712352793786,0.0147832623402656
Denver Nuggets,2014-15 ,2.09255533199195,0.779426559356137,1.80030181086519,0.165995975855131,0.511066398390342,0.367706237424547,0.500754527162978,0.254527162977867,0.667253521126761,0.921780684104628,0.449698189134809,0.293259557344064,0.161217303822938,0.0923038229376258,0.473340040241449,-0.0731891348088531
Minnesota Timberwolves,2014-15 ,2.0237313809644,0.753850037869225,1.72178742741732,0.102499368846251,0.308760414036859,0.413531936379702,0.532693764200959,0.239585963140621,0.607422368088866,0.847008331229488,0.447109315829336,0.31078010603383,0.168644281747034,0.0825549103761676,0.396617015905075,-0.182024741226963
Oklahoma City Thunder,2014-15 ,2.14926878466969,0.802824004034291,1.79500756429652,0.159354513363591,0.469994957135653,0.384266263237519,0.509329299041856,0.265254664649521,0.717095310136157,0.982349974785678,0.423852748361069,0.303832576903681,0.150781643973777,0.114473020675744,0.461169944528492,0.0451336359051942
Portland Trail Blazers,2014-15 ,2.12263913371947,0.799546713674138,1.77511961722488,0.203223369428356,0.561823218332914,0.320322336942836,0.400151095441954,0.221354822462856,0.725509947116595,0.946864769579451,0.453034500125913,0.281289347771342,0.132208511709897,0.093679174011584,0.376227650465878,0.087383530596827
