team,season,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Boston Celtics,2014-15 ,0.264129485864539,0.84488523286134,1.81990524477433,0.110842931276962,0.511149165276885,-1.0204666824921,-1.07870792800248,0.190597616767372,0.188324239182631,0.26123543547189,1.29418403276718,-0.431990646577888,0.458395407609509,-1.71319821982006,0.655832256957729,0.031992807166319
Brooklyn Nets,2014-15 ,-0.561789235617858,-0.161556389117022,-0.417141985051468,-0.768618684050295,-0.608854608585241,-0.377595562542709,-0.350420936622731,-0.621719600932521,-0.357662757293454,-0.642277053720714,-0.643656063699685,-0.458395956972533,-0.732423914540867,-0.940350300358726,-0.730411523985522,-0.58977308171556
New York Knicks,2014-15 ,-1.89078923419725,-1.50403243303337,-0.693885453740696,-0.614714044029923,-0.645619728309198,-1.40418630568826,-1.62592920398468,-0.324248301763718,-1.8313107506879,-1.67992944317142,-0.405725513319534,0.260259122203326,-0.718424874941984,-0.198538889269068,0.929966469952187,-1.91524866319422
Philadelphia 76ers,2014-15 ,-1.81758373547517,-2.34585497506002,-0.334143680133748,0.363818510672989,0.931560303457834,-0.597112016341097,0.451066446157545,1.07147992036382,-0.989999561893051,-0.206669448514564,-0.789148297855348,2.59180790311861,1.87125847723847,1.62223736195898,1.05337149049227,-1.84973305128641
Toronto Raptors,2014-15 ,0.897922454893719,0.225224644636841,-0.149857045433653,0.599790679820314,0.629959658095375,1.28288828326223,0.755184121756072,-0.152041069318223,-1.12882457258812,-1.00860321382282,-0.699405686879182,-1.12563935816232,-0.238835946354474,-0.627039556556468,0.452998217014046,0.63100482491872
Chicago Bulls,2014-15 ,0.132169179795039,-0.622370661177953,-0.364022201178889,0.00123653707418432,-0.0487144140177519,1.50536434904356,1.028554665454,0.792564975958449,1.09280009921046,1.33953639393389,-0.191924311625971,-0.320515023736166,-1.45754788758264,1.40236374459934,-1.41126652581668,0.615192600439265
Cleveland Cavaliers,2014-15 ,0.791283697813973,0.169464432421772,-0.490258654492333,1.35433430774504,1.20638059757683,0.374092016921351,0.361042960928487,0.259463447834729,-0.317123432254251,-0.113329543831562,0.0829462856440232,-0.0239887398222531,-0.355299316923434,-0.896323413717709,-1.21872883237231,0.922700108703284
Detroit Pistons,2014-15 ,-0.338492218508809,-0.258096299457326,1.00091050584832,0.438000238484871,0.588705369988368,-0.810523551120278,-0.186862435550912,1.95534509280812,-0.220538015753336,0.919838103000648,-0.227998572403358,-0.722096164132066,-0.133501118828161,-0.173122727652148,-0.83340682591651,-0.206310030842951
Indiana Pacers,2014-15 ,-0.636993454626105,-0.616449154229192,-0.176266191467974,-0.234266781137079,-0.28525425143257,-0.240266296570663,-0.313333703234652,-0.459553984399466,1.37642733967134,0.866957694975862,-0.333937026449396,-0.288519470693139,-1.55770549997012,-0.318519076109537,0.708516923945192,0.0570953280901141
Milwaukee Bucks,2014-15 ,-0.603798569637912,-0.0548373881268309,-0.848622112998696,-0.739463639838872,-0.987808932954766,-0.714005309530129,-0.798914516299019,-0.254092771292497,-0.804550202210345,-0.800858476600525,0.760703959427697,1.76552314196718,1.81177670227218,0.135407827461563,1.26361945550555,0.0868391000326018
Atlanta Hawks,2014-15 ,0.715968768757674,0.475991314430766,-0.612324962341336,1.31080610570765,0.932077660769247,-0.351293994936849,-0.698476646945467,-2.13820666978532,-0.269404100211302,-1.42335844399572,2.06363073118031,-0.0337228433462318,1.36435351605266,-0.191554306674048,-1.64028882112889,1.12175837107563
Charlotte Hornets,2014-15 ,-1.42242798599517,-1.32282203036869,0.30220040064786,-1.07747650075197,-0.794152324835733,-0.0930459957842764,-0.0675733908984838,-0.927708989086223,1.07160060021988,0.354288629275241,-1.03325305244842,-1.90185082411142,-1.6446724046542,0.913414422337555,-1.43573496092619,-0.650509763731168
Miami Heat,2014-15 ,-1.1087438091362,-1.34122209074385,-2.57366785514147,-0.618207175552057,-0.48685687445993,0.292194716404422,0.420477299893745,-1.74209636927642,-1.5470007269162,-2.24519734622664,-1.12164226011666,0.406209421218689,0.133653700968128,-0.329543249384502,-0.106034753254069,-0.537739229318341
Orlando Magic,2014-15 ,-0.902029044818731,0.0995148596986397,-0.163689261784816,-0.638094333057459,-0.668245270858715,-1.86561770188673,-1.63719992429731,-0.826589444896433,-0.331573355450554,-0.736213419992293,-0.702245115537742,0.45726797448505,0.184102981480871,-1.33681712858273,0.543931230561417,-1.1818827546123
Washington Wizards,2014-15 ,-0.472513172931832,0.342061261061739,-0.535570861647998,-1.09386252447675,-1.33180299087883,-0.775811142338415,-0.681130675940262,-0.438885664594556,1.07988860713195,0.63610243486217,0.985227316503644,0.453923064097662,-0.442802437945055,-0.29956669881323,0.337552760975957,0.146575925438612
Denver Nuggets,2014-15 ,0.286590814557226,0.126541201404602,1.54032033019577,0.110842931276962,0.54257008044138,0.385961960067527,0.616852976243997,1.44367252773656,-0.0821732142836317,0.745088429653559,-0.14629817824548,-0.125432683763152,0.0632321029761301,-0.463549739585899,1.88077968378701,-0.728920227833575
Minnesota Timberwolves,2014-15 ,-0.481710246264273,-0.650586675455602,-0.106451637073984,-1.73392409099608,-1.75506604196246,1.69338792174895,1.30477619801095,0.713864370877925,-2.0930569002202,-1.30986893375907,-0.213390496570195,0.521699113988174,0.416839366622839,-1.12709042362774,-0.714158683212025,-1.81204582001889
